puid,x_coord_epsg4326,y_coord_epsg4326,species
473,123.2019464,-5.324329988,rabbitfish
474,123.1399515,-5.222267344,rabbitfish
475,122.9781702,-5.085752519,rabbitfish
476,122.9637155,-5.191131781,rabbitfish
477,122.7271699,-5.203107908,rabbitfish
478,122.7516816,-5.24182129,rabbitfish
479,122.7091872,-5.254239622,rabbitfish
480,123.4660756,-5.33884649,rabbitfish
481,123.5096188,-5.376989392,rabbitfish
482,123.4974527,-5.334884571,rabbitfish
483,123.5363348,-5.36244073,rabbitfish
484,123.568591,-5.389573968,rabbitfish
485,123.6928106,-5.48810724,rabbitfish
486,123.7349393,-5.536663281,rabbitfish
487,121.8901687,-5.407269685,rabbitfish
1,121.9188642,20.36847711,"Cuke,Trout"
2,100.0598871,9.591428918,"Cuke,Trout"
3,100.7635673,8.38579623,"Cuke,Trout"
4,100.2246128,5.88854774,"Cuke,Trout"
5,102.9580736,5.719293909,"Cuke,Trout"
6,103.683092,4.838210656,"Cuke,Trout"
7,102.3086716,2.112363271,"Cuke,Trout"
8,104.229585,2.702661935,"Cuke,Trout"
9,104.0873559,2.134631828,"Cuke,Trout"
10,106.0843519,3.006017221,"Cuke,Trout"
11,104.4703675,-0.062151322,"Cuke,Trout"
12,104.1089844,0.951932087,"Cuke,Trout"
13,100.3713512,-1.239315531,"Cuke,Trout"
14,100.4996547,-3.315931378,"Cuke,Trout"
15,101.4822196,-3.067693333,"Cuke,Trout"
16,102.2008718,-3.857546227,"Cuke,Trout"
17,102.2457832,-5.412344638,"Cuke,Trout"
18,103.8645319,-5.218329189,"Cuke,Trout"
19,104.6678014,-5.796535079,"Cuke,Trout"
20,105.2641348,-5.682346459,"Cuke,Trout"
21,105.4707449,-6.033203738,"Cuke,Trout"
22,105.422559,-6.667162753,"Cuke,Trout"
23,105.8480312,-5.871307347,"Cuke,Trout"
24,106.5788324,-5.72455093,"Cuke,Trout"
25,106.3780401,-7.277182446,"Cuke,Trout"
26,108.4800757,-7.73889138,"Cuke,Trout"
27,107.6087426,-6.105153158,"Cuke,Trout"
28,108.4291927,-5.847336524,"Cuke,Trout"
29,109.207731,-6.806037303,"Cuke,Trout"
